features,importances
groups_mean,0.6210161626138214
yearsExperience,0.1858509811781091
milesFromMetropolis,0.12811748591584315
groups_25%,0.034744493536867496
groups_50%,0.011695235638221224
groups_75%,0.009803070373803704
groups_median,0.0032577816441224094
groups_min,0.0022790040379489494
groups_0%,0.0018490117942960352
groups_std,0.0012051655449684452
groups_100%,7.206122037404958e-05
groups_max,6.958324948376659e-05
major,1.420581242681882e-05
jobType,1.3215881451677849e-05
industry,6.56228847842859e-06
degree,5.979269783287199e-06
